vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1793296389,Newfoundland and Labrador,2021A000210,Women+,18 to 44 years,Life affected by wait time,2.3.2.7.4,68.3
v1793296396,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,"Total, wait time - medical specialist",2.3.3.1.4,100.0
v1793296403,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,"Wait time, less than 3 months",2.3.3.2.4,54.5
v1793296410,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,"Wait time, 3 months to less than 6 months",2.3.3.3.4,18.9
v1793296417,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,"Wait time, 6 months or more",2.3.3.4.4,26.6
v1793296424,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Satisfaction with wait time - Very satisfied or satisfied,2.3.3.5.4,51.6
v1793296431,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.3.3.6.4,28.7
v1793296438,Newfoundland and Labrador,2021A000210,Women+,45 to 64 years,Life affected by wait time,2.3.3.7.4,60.3
v1793296445,Newfoundland and Labrador,2021A000210,Women+,65 years and over,"Total, wait time - medical specialist",2.3.4.1.4,100.0
v1793296452,Newfoundland and Labrador,2021A000210,Women+,65 years and over,"Wait time, less than 3 months",2.3.4.2.4,54.8
v1793296459,Newfoundland and Labrador,2021A000210,Women+,65 years and over,"Wait time, 3 months to less than 6 months",2.3.4.3.4,18.8
v1793296466,Newfoundland and Labrador,2021A000210,Women+,65 years and over,"Wait time, 6 months or more",2.3.4.4.4,26.4
v1793296473,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,2.3.4.5.4,59.9
v1793296480,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Satisfaction with wait time - Dissatisfied or very dissatisfied,2.3.4.6.4,21.5
v1793296487,Newfoundland and Labrador,2021A000210,Women+,65 years and over,Life affected by wait time,2.3.4.7.4,58.0
v1793296494,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over","Total, wait time - medical specialist",3.1.1.1.4,100.0
v1793296501,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over","Wait time, less than 3 months",3.1.1.2.4,60.8
v1793296508,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over","Wait time, 3 months to less than 6 months",3.1.1.3.4,13.6
v1793296515,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over","Wait time, 6 months or more",3.1.1.4.4,25.6
v1793296522,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Satisfaction with wait time - Very satisfied or satisfied,3.1.1.5.4,54.0
v1793296529,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Satisfaction with wait time - Dissatisfied or very dissatisfied,3.1.1.6.4,29.3
v1793296536,Prince Edward Island,2021A000211,Both genders,"Total, 18 years and over",Life affected by wait time,3.1.1.7.4,65.3
v1793296543,Prince Edward Island,2021A000211,Both genders,18 to 44 years,"Total, wait time - medical specialist",3.1.2.1.4,100.0
v1793296550,Prince Edward Island,2021A000211,Both genders,18 to 44 years,"Wait time, less than 3 months",3.1.2.2.4,60.2
v1793296557,Prince Edward Island,2021A000211,Both genders,18 to 44 years,"Wait time, 3 months to less than 6 months",3.1.2.3.4,11.7
v1793296564,Prince Edward Island,2021A000211,Both genders,18 to 44 years,"Wait time, 6 months or more",3.1.2.4.4,28.1
v1793296571,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Satisfaction with wait time - Very satisfied or satisfied,3.1.2.5.4,44.4
v1793296578,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,3.1.2.6.4,37.9
v1793296585,Prince Edward Island,2021A000211,Both genders,18 to 44 years,Life affected by wait time,3.1.2.7.4,73.8
v1793296592,Prince Edward Island,2021A000211,Both genders,45 to 64 years,"Total, wait time - medical specialist",3.1.3.1.4,100.0
v1793296599,Prince Edward Island,2021A000211,Both genders,45 to 64 years,"Wait time, less than 3 months",3.1.3.2.4,59.7
v1793296606,Prince Edward Island,2021A000211,Both genders,45 to 64 years,"Wait time, 3 months to less than 6 months",3.1.3.3.4,14.2
v1793296613,Prince Edward Island,2021A000211,Both genders,45 to 64 years,"Wait time, 6 months or more",3.1.3.4.4,26.1
v1793296620,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Satisfaction with wait time - Very satisfied or satisfied,3.1.3.5.4,54.7
v1793296627,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Satisfaction with wait time - Dissatisfied or very dissatisfied,3.1.3.6.4,28.4
v1793296634,Prince Edward Island,2021A000211,Both genders,45 to 64 years,Life affected by wait time,3.1.3.7.4,66.1
v1793296641,Prince Edward Island,2021A000211,Both genders,65 years and over,"Total, wait time - medical specialist",3.1.4.1.4,100.0
v1793296648,Prince Edward Island,2021A000211,Both genders,65 years and over,"Wait time, less than 3 months",3.1.4.2.4,62.6
v1793296655,Prince Edward Island,2021A000211,Both genders,65 years and over,"Wait time, 3 months to less than 6 months",3.1.4.3.4,15.0
v1793296662,Prince Edward Island,2021A000211,Both genders,65 years and over,"Wait time, 6 months or more",3.1.4.4.4,22.4
v1793296669,Prince Edward Island,2021A000211,Both genders,65 years and over,Satisfaction with wait time - Very satisfied or satisfied,3.1.4.5.4,64.1
v1793296676,Prince Edward Island,2021A000211,Both genders,65 years and over,Satisfaction with wait time - Dissatisfied or very dissatisfied,3.1.4.6.4,20.6
v1793296683,Prince Edward Island,2021A000211,Both genders,65 years and over,Life affected by wait time,3.1.4.7.4,54.8
v1793296690,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over","Total, wait time - medical specialist",3.2.1.1.4,100.0
v1793296697,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over","Wait time, less than 3 months",3.2.1.2.4,61.9
v1793296704,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over","Wait time, 3 months to less than 6 months",3.2.1.3.4,14.6
v1793296711,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over","Wait time, 6 months or more",3.2.1.4.4,23.5
v1793296718,Prince Edward Island,2021A000211,Men+,"Total, 18 years and over",Satisfaction with wait time - Very satisfied or satisfied,3.2.1.5.4,56.1
