vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792534911,Canada (excluding territories),"",Men+,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,1.2.2.9.4,14.1
v1792534918,Canada (excluding territories),"",Men+,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,1.2.2.10.4,38.3
v1792534925,Canada (excluding territories),"",Men+,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,1.2.2.11.4,24.1
v1792534932,Canada (excluding territories),"",Men+,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,1.2.2.12.4,27.6
v1792534939,Canada (excluding territories),"",Men+,18 to 44 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,1.2.2.13.4,44.4
v1792534946,Canada (excluding territories),"",Men+,18 to 44 years,Level of coordination between health care providers in the past 12 months - Fair or poor,1.2.2.14.4,30.6
v1792534953,Canada (excluding territories),"",Men+,18 to 44 years,Experienced discrimination in a health care setting in the past 12 months,1.2.2.15.4,7.4
v1792534960,Canada (excluding territories),"",Men+,18 to 44 years,Had unmet health care needs in the past 12 months,1.2.2.16.4,24.4
v1792534967,Canada (excluding territories),"",Men+,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.2.2.17.4,16.6
v1792534974,Canada (excluding territories),"",Men+,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,1.2.2.18.4,77.9
v1792534981,Canada (excluding territories),"",Men+,45 to 64 years,Has at least one chronic condition,1.2.3.1.4,52.2
v1792534988,Canada (excluding territories),"",Men+,45 to 64 years,Perceived health - Very good or excellent,1.2.3.2.4,53.2
v1792534995,Canada (excluding territories),"",Men+,45 to 64 years,Perceived health - Fair or poor,1.2.3.3.4,13.4
v1792535002,Canada (excluding territories),"",Men+,45 to 64 years,Perceived mental health - Very good or excellent,1.2.3.4.4,59.0
v1792535009,Canada (excluding territories),"",Men+,45 to 64 years,Perceived mental health - Fair or poor,1.2.3.5.4,11.4
v1792535016,Canada (excluding territories),"",Men+,45 to 64 years,Has a regular health care provider,1.2.3.6.4,81.9
v1792536423,Newfoundland and Labrador,2021A000210,Men+,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,2.2.2.9.4,10.1
v1792535023,Canada (excluding territories),"",Men+,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.2.3.7.4,73.0
v1792535030,Canada (excluding territories),"",Men+,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,1.2.3.8.4,73.4
v1792535037,Canada (excluding territories),"",Men+,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,1.2.3.9.4,7.6
v1792535044,Canada (excluding territories),"",Men+,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,1.2.3.10.4,33.5
v1792535051,Canada (excluding territories),"",Men+,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,1.2.3.11.4,32.5
v1792535058,Canada (excluding territories),"",Men+,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,1.2.3.12.4,26.9
v1792535065,Canada (excluding territories),"",Men+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,1.2.3.13.4,57.4
v1792535072,Canada (excluding territories),"",Men+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,1.2.3.14.4,17.0
v1792535079,Canada (excluding territories),"",Men+,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,1.2.3.15.4,4.5
v1792535086,Canada (excluding territories),"",Men+,45 to 64 years,Had unmet health care needs in the past 12 months,1.2.3.16.4,18.2
v1792535093,Canada (excluding territories),"",Men+,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.2.3.17.4,12.3
v1792535100,Canada (excluding territories),"",Men+,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,1.2.3.18.4,80.0
v1792535107,Canada (excluding territories),"",Men+,65 years and over,Has at least one chronic condition,1.2.4.1.4,78.8
v1792535114,Canada (excluding territories),"",Men+,65 years and over,Perceived health - Very good or excellent,1.2.4.2.4,37.9
