"REF_DATE","GEO","DGUID","Gender","Age group","Indicators ","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a medical specialist for an initial consultation in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1792534294","1.1.1.11.3","11116300","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a medical specialist for an initial consultation in the past 12 months","Percentage","Percent","239","units","0","v1792534295","1.1.1.11.4","33.9","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a medical specialist for an initial consultation in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534296","1.1.1.11.5","33.0","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a medical specialist for an initial consultation in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1792534297","1.1.1.11.6","34.8","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Consulted a medical specialist for an initial consultation in the past 12 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534298","1.1.1.11.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting specialist care in the past 12 months","Number of persons","Number","223","units","0","v1792534299","1.1.1.12.1","9056500","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting specialist care in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534300","1.1.1.12.2","8746800","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting specialist care in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1792534301","1.1.1.12.3","9342200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting specialist care in the past 12 months","Percentage","Percent","239","units","0","v1792534302","1.1.1.12.4","29.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting specialist care in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534303","1.1.1.12.5","28.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting specialist care in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1792534304","1.1.1.12.6","30.6","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced difficulties getting specialist care in the past 12 months","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534305","1.1.1.12.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Very good or excellent","Number of persons","Number","223","units","0","v1792534306","1.1.1.13.1","4746900","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Very good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534307","1.1.1.13.2","4544100","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Very good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v1792534308","1.1.1.13.3","4967600","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Very good or excellent","Percentage","Percent","239","units","0","v1792534309","1.1.1.13.4","54.1","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Very good or excellent","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534310","1.1.1.13.5","52.2","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Very good or excellent","High 95% confidence interval, percentage","Percent","239","units","0","v1792534311","1.1.1.13.6","55.9","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Very good or excellent","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534312","1.1.1.13.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Fair or poor","Number of persons","Number","223","units","0","v1792534313","1.1.1.14.1","1862200","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534314","1.1.1.14.2","1714400","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1792534315","1.1.1.14.3","2015700","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Fair or poor","Percentage","Percent","239","units","0","v1792534316","1.1.1.14.4","21.2","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Fair or poor","Low 95% confidence interval, percentage","Percent","239","units","0","v1792534317","1.1.1.14.5","19.7","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Fair or poor","High 95% confidence interval, percentage","Percent","239","units","0","v1792534318","1.1.1.14.6","22.8","","","","1"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Level of coordination between health care providers in the past 12 months - Fair or poor","Statistically different from the Canada (excluding territories) rate","Rate","257","units","0","v1792534319","1.1.1.14.7","","..","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced discrimination in a health care setting in the past 12 months","Number of persons","Number","223","units","0","v1792534320","1.1.1.15.1","2012500","","","","0"
"2024","Canada (excluding territories)","","Both genders","Total, 18 years and over","Experienced discrimination in a health care setting in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1792534321","1.1.1.15.2","1862300","","","","0"
